Id,Label,timeset,0,1,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Weighted Degree,eigencentrality
1431,,,5B,F,0.509091,28,7,0.253247,0.304955,71.409111,5,11,16.434585,0.124965
1843,,,3A,M,0.338235,46,8,0.270833,0.36398,282.385412,10,17,30.1091,0.50979
1727,,,3B,F,0.666667,52,8,0.23494,0.311157,17.418826,2,13,20.707451,0.405079
1835,,,4B,F,0.6,6,7,0.225217,0.264387,48.537366,7,5,8.933861,0.030327
1722,,,3A,F,0.461538,36,8,0.242487,0.32704,62.868983,10,13,21.220169,0.389576
1723,,,3A,M,0.333333,2,9,0.210054,0.256127,1.133172,10,4,6.40724,0.08084
1720,,,3A,F,0.454545,25,8,0.257993,0.330932,43.331132,10,11,20.249355,0.321056
1439,,,5B,M,0.288889,13,7,0.268657,0.32732,493.240471,7,10,16.501154,0.115338
1731,,,3B,M,0.593407,54,8,0.255738,0.329009,31.59967,2,14,23.249097,0.434722
1533,,,4A,M,0.205128,16,6,0.287823,0.347863,965.944776,7,13,21.878315,0.186021
1532,,,4A,M,0.311111,14,7,0.271462,0.333303,464.498068,7,10,18.574595,0.140657
1730,,,4A,Unknown,0.25,7,7,0.243243,0.298321,67.366404,7,8,14.923592,0.076385
1539,,,4A,F,0,0,8,0.193229,0.223662,2.666667,7,2,2.244277,0.009195
1538,,,4A,F,1,1,8,0.216667,0.247675,0,7,2,2.375846,0.014924
1570,,,3B,F,0.666667,52,9,0.223496,0.300856,6.868556,2,13,20.143617,0.404832
1877,,,2B,F,0.678571,19,8,0.234704,0.297838,3.620858,3,8,15.310836,0.193559
1872,,,2B,F,0.5,39,7,0.265006,0.329589,44.113013,3,13,20.703153,0.30752
1908,,,1B,M,0.583333,70,5,0.347697,0.396724,2088.439322,1,16,30.235104,0.522765
1909,,,3A,M,0.436364,24,8,0.254072,0.32153,30.695454,10,11,20.661696,0.283218
1906,,,2A,F,0.692308,54,6,0.302326,0.35235,28.430341,4,13,20.799976,0.532751
1907,,,2A,F,0.510526,97,6,0.316644,0.38547,285.687436,4,20,37.196669,0.762536
1902,,,2A,M,0.493506,114,6,0.330508,0.405342,849.395501,4,22,40.445774,0.85018
1682,,,1B,F,0.644444,29,6,0.29434,0.337037,12.137197,1,10,15.517218,0.304112
1739,,,2B,M,0.52381,11,8,0.250535,0.305505,20.843386,3,7,12.979639,0.153327
1738,,,3A,F,0.4,18,8,0.249733,0.313126,36.718341,10,10,17.999583,0.270438
1632,,,4B,F,0,0,7,0.226964,0.255942,67.054908,7,2,2.582291,0.015303
1427,,,5B,F,0.714286,15,7,0.234234,0.282153,3.901131,5,7,12.795241,0.087562
1637,,,5A,Unknown,0.52381,11,8,0.222433,0.272848,4.089646,5,7,14.944228,0.115403
1429,,,5B,F,0.611111,22,7,0.234469,0.285714,13.564357,5,9,14.416471,0.098467
1428,,,5B,M,0.472222,17,7,0.253796,0.308588,19.555794,5,9,12.807396,0.155433
1580,,,3B,M,0.653846,51,8,0.253247,0.321174,16.981077,2,13,22.269415,0.432864
1732,,,2B,M,0.377778,17,8,0.263217,0.339337,61.392475,3,10,17.793997,0.317876
1737,,,3A,M,0.377778,17,8,0.251343,0.314052,22.72492,10,10,16.406295,0.261499
1585,,,5B,M,0.418182,23,7,0.252973,0.310012,69.581046,5,11,17.683891,0.178979
1502,,,5A,F,0.642857,18,7,0.261453,0.313645,46.573635,5,8,16.458669,0.170785
1503,,,4A,F,0.238095,25,6,0.28024,0.344516,1131.025415,7,15,23.145281,0.139566
1500,,,4A,M,0.388889,14,7,0.24477,0.303236,446.984392,7,9,14.952293,0.100537
1501,,,5A,F,0.6,27,7,0.259424,0.314998,54.045331,5,10,20.332976,0.196607
1504,,,4A,F,0.238095,5,8,0.228739,0.280143,367.422617,7,7,9.856897,0.054594
1767,,,1A,M,0.288889,13,7,0.305882,0.369322,271.835794,0,10,17.617012,0.244747
1609,,,2A,F,1,1,7,0.238289,0.265771,0,4,2,5.132201,0.073429
1572,,,3B,F,0.487179,38,7,0.301935,0.367186,572.019286,2,13,21.451759,0.432914
1613,,,2A,M,0.352941,54,6,0.362791,0.427137,5034.690845,4,18,35.752185,0.72481
1434,,,5B,F,0.285714,6,6,0.273364,0.320442,384.29707,5,7,13.325402,0.10857
1861,,,2B,F,0.395604,36,7,0.28125,0.358608,90.40202,3,14,25.590083,0.497003
1465,,,5B,F,0.638889,23,7,0.241986,0.298036,77.885595,5,9,19.702082,0.102554
1863,,,2B,M,0.5,3,8,0.24554,0.291402,4.795208,3,4,8.783798,0.086925
1865,,,4B,M,0.133333,2,7,0.226525,0.265059,1281.322102,7,6,7.900521,0.019726
1592,,,5B,M,0.282051,22,7,0.26,0.32383,303.290236,5,13,21.792758,0.188863
1911,,,2A,M,0.458498,116,6,0.330508,0.406766,893.214999,4,23,42.881526,0.891397
1910,,,4B,F,0,0,8,0.196309,0.230983,42.699058,7,4,7.020535,0.00982
1913,,,2A,F,0.688889,31,6,0.321429,0.361895,1015.269506,4,10,15.144835,0.42351
1912,,,1B,M,0.608333,73,6,0.312417,0.368376,200.772716,1,16,34.268455,0.488305
1917,,,2A,F,0.733333,33,6,0.296578,0.340242,71.14463,4,10,17.168749,0.42338
1916,,,2A,M,0.389474,74,7,0.312417,0.394963,588.512526,4,20,34.032548,0.769129
1483,,,5A,F,1,6,7,0.24,0.277259,0,5,4,5.373915,0.090278
1684,,,1B,F,0.415789,79,5,0.345643,0.40755,3593.982707,1,20,34.645424,0.58107
1625,1625,,2A,M,0.424615,138,6,0.357798,0.436752,3228.995516,4,26,48.104857,1
1461,,,5A,F,0.606061,40,8,0.226525,0.291367,7.280532,5,12,19.718058,0.231028
1628,,,2A,M,0.522876,80,7,0.305882,0.381431,309.400414,4,18,33.903625,0.76557
1457,,,5A,F,0.342857,72,7,0.269896,0.352106,310.814275,5,21,35.983495,0.401433
1748,,,3A,M,0.487179,38,8,0.241237,0.324191,29.785919,10,13,22.596839,0.398758
1451,,,5A,F,0.619048,13,7,0.246575,0.291606,11.673103,5,7,11.985199,0.134682
1452,,,5A,M,0.385621,59,7,0.274326,0.35175,309.437079,5,18,31.396046,0.35025
1453,,,5A,F,0.821429,23,7,0.252155,0.302147,6.126605,5,8,13.441648,0.176133
1744,,,3B,M,0.525641,41,9,0.22307,0.303136,86.550254,2,13,19.18933,0.374425
1745,,,Teachers,Unknown,0.54386,93,5,0.330976,0.388746,1886.187341,1,19,33.670429,0.574799
1746,,,Teachers,Unknown,0.457143,48,8,0.238047,0.318493,178.164463,10,15,20.630578,0.390463
1516,,,5A,M,0.636364,35,7,0.251884,0.306064,17.27646,5,11,17.986331,0.214208
1458,1458,,5A,M,0.304615,99,7,0.282609,0.379742,1024.519281,5,26,47.829149,0.468421
1741,,,3A,M,0.355556,16,8,0.234,0.301755,35.586994,10,10,13.517964,0.244124
1743,,,2B,F,0.436364,24,7,0.267123,0.330372,45.848134,3,11,17.299879,0.262785
1426,,,5B,M,0.266667,12,6,0.306283,0.355556,958.965002,5,10,16.274435,0.158961
1847,,,4B,M,0.294872,23,6,0.289604,0.349501,1103.844552,7,13,19.785649,0.173138
1459,,,5A,M,0.581818,32,7,0.25,0.303714,18.475928,5,11,16.47754,0.201771
1648,,,2A,F,0.389706,53,7,0.304688,0.378938,490.815692,4,17,26.532473,0.647722
1898,,,2B,F,0.393939,26,6,0.298089,0.355271,425.275889,3,12,22.298996,0.327519
1895,,,4B,F,0.133333,2,8,0.203301,0.248932,477.380488,7,6,10.778497,0.023728
1897,,,2B,F,0.166667,1,7,0.254348,0.293976,7.575619,3,4,8.210773,0.080828
1890,,,2B,M,0.380952,80,7,0.285714,0.377839,292.871954,3,21,36.261236,0.598467
1519,,,4A,F,0,0,9,0.186306,0.21093,0,7,1,2.434569,0.00521
1815,,,4A,F,0.266667,4,7,0.232143,0.278205,138.943611,7,6,11.838628,0.037151
1618,,,4A,Unknown,0.3,3,8,0.22307,0.264901,5.853983,7,5,7.842066,0.040089
1616,,,2A,F,0.818182,45,7,0.283636,0.335277,2.461286,4,11,16.123081,0.474132
1617,,,2A,F,0.590476,62,6,0.309524,0.368376,161.937464,4,15,31.135893,0.606494
1818,,,4B,M,0,0,9,0.170306,0.198168,1.124426,7,2,2.614264,0.005475
1819,,,4B,F,0,0,8,0.18542,0.209188,290.904512,7,3,3.949913,0.005085
1696,,,1B,F,0.666667,52,6,0.305882,0.353063,22.926878,1,13,24.846209,0.426437
1649,,,2A,M,0.911111,41,7,0.281588,0.330647,0.632928,4,10,17.123747,0.468127
1471,,,5B,M,0.333333,7,8,0.228963,0.283064,87.727014,5,7,10.145496,0.070592
1443,,,5B,F,0.533333,24,7,0.238047,0.292979,79.966805,5,10,16.947911,0.102724
1441,,,5B,M,1,1,8,0.208742,0.240502,0,5,2,4.323226,0.025839
1757,,,1A,F,0.282051,22,7,0.292866,0.362342,487.216936,0,13,22.58697,0.239469
1567,,,3B,M,0,0,9,0.212149,0.255486,12.867333,2,2,3.695047,0.043353
1562,,,3B,F,0.615385,56,8,0.2527,0.322955,26.692149,2,14,21.297933,0.421596
1563,,,5B,F,0.395604,36,6,0.286064,0.35114,791.174751,5,14,24.990041,0.213049
1753,,,Teachers,Unknown,0,0,8,0.221801,0.247538,0,0,1,1.344392,0.014512
1752,,,1A,M,0.4,4,7,0.267123,0.302869,42.915251,0,5,8.339079,0.046693
1751,,,5A,F,0.672727,37,7,0.252973,0.308557,9.761586,5,11,16.881708,0.225767
1750,,,5B,M,0.333333,1,7,0.237082,0.263431,48.043426,5,3,3.727151,0.022197
1858,,,2B,F,0.5,18,7,0.269275,0.330942,16.056405,3,9,18.049178,0.287482
1528,,,4A,M,0.466667,7,7,0.232836,0.278775,20.085107,7,6,8.657468,0.055882
1859,,,3A,F,0.294372,68,8,0.268349,0.366473,341.785721,10,22,37.213562,0.603807
1475,,,5B,F,0.52381,11,7,0.238289,0.288706,26.03382,5,7,10.49107,0.086214
1688,,,1B,M,0.742857,78,6,0.310757,0.363746,25.476539,1,15,29.768066,0.499846
1889,,,2B,F,0.251082,58,7,0.284672,0.377839,619.426275,3,22,37.386134,0.611349
1888,,,4B,M,0.333333,1,8,0.188103,0.216026,15.870164,7,3,3.713215,0.00701
1887,,,2B,M,0.345588,47,7,0.312,0.389621,624.570006,3,17,29.489429,0.554401
1885,,,4B,M,0.166667,1,7,0.233068,0.270686,374.618015,5,4,8.35147,0.025367
1883,,,2B,M,0.3,3,8,0.246575,0.295319,6.562954,3,5,9.450534,0.102584
1880,,,4B,M,0.2,2,8,0.191489,0.224715,141.999395,7,5,7.256522,0.011018
1807,,,4B,F,1,1,9,0.170182,0.197812,0,7,2,3.648848,0.005303
1919,,,2A,M,0.80303,53,7,0.298851,0.350153,16.472257,4,12,18.975867,0.527828
1866,,,4B,M,0.444444,16,6,0.283981,0.335256,1699.464755,7,9,15.931326,0.141831
1761,,,1A,M,0.309091,17,7,0.284672,0.345248,380.665724,0,11,18.929103,0.210718
1802,,,4B,M,0,0,8,0.190089,0.211681,0,7,1,1.424882,0.004748
1801,,,3A,F,0.525641,41,8,0.239754,0.325417,32.582152,10,13,20.43901,0.400947
1594,,,3B,M,0.280952,59,8,0.268349,0.367114,344.080433,2,21,34.467874,0.646099
1603,,,2A,F,0.685714,72,7,0.296203,0.350153,42.008027,4,15,26.165933,0.5988
1604,,,2A,F,0.716667,86,6,0.31117,0.367236,62.062892,4,16,23.451964,0.679758
1809,,,3A,F,0.444444,16,8,0.233068,0.296912,29.375046,10,9,13.590732,0.212996
1606,,,2A,F,0.647368,123,7,0.307087,0.374725,58.101439,4,20,32.407195,0.809329
1681,,,1B,M,0.615385,48,6,0.3,0.348433,16.359796,1,13,22.710438,0.397679
1680,,,1B,F,0.681818,45,6,0.299616,0.347222,18.528041,1,12,21.398215,0.393656
1768,,,1A,F,0.141667,17,7,0.314516,0.391758,1117.442434,0,16,26.156967,0.304342
1578,,,5B,M,0.52381,11,8,0.220963,0.270528,9.28241,5,7,9.082172,0.080321
1685,,,3B,F,0.595588,81,8,0.257993,0.337912,47.795366,2,17,29.48553,0.519963
1477,,,5A,M,0.367647,50,7,0.264407,0.337078,248.797218,5,17,28.352458,0.293534
1687,,,1B,F,0.472222,17,6,0.295828,0.337536,28.971873,1,9,15.071029,0.245137
1564,,,3B,M,0.406593,37,8,0.26087,0.34476,63.600122,2,14,22.208346,0.496944
1763,,,3A,M,0.487179,38,8,0.259136,0.334351,69.613435,10,13,21.364719,0.377013
1760,,,1A,F,0,0,8,0.239509,0.270319,0,0,1,1.421604,0.020839
1479,,,5A,M,0.714286,15,8,0.224568,0.27819,2.385204,5,7,10.684358,0.14471
1766,,,1A,M,0.133333,2,7,0.271462,0.312271,90.180156,0,6,9.147754,0.062828
1852,,,Teachers,Unknown,0.637427,109,6,0.310757,0.37151,103.083608,4,19,32.829808,0.754405
1764,,,1A,M,0.227273,15,7,0.280912,0.340975,627.664104,0,12,17.515973,0.177997
1765,,,1B,F,0.374269,64,5,0.332859,0.393732,1705.062455,1,19,32.088572,0.502183
