Id,Label,timeset,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree,eigencentrality,modularity_class
1796,1A,,1A,F,7,0.269676,0.310413,490.966898,10.599532,6,0.084885,1
1795,3A,,3A,F,7,0.276722,0.331341,139.8968,17.768749,10,0.116736,2
1560,3B,,3B,F,6,0.295685,0.347711,476.803879,23.529918,13,0.174506,7
1493,5A,,5A,F,8,0.223394,0.273626,18.133439,13.10621,7,0.079671,4
1495,5A,,5A,M,7,0.225338,0.283783,242.220001,16.369907,12,0.110186,4
1800,3A,,3A,F,7,0.252986,0.28739,6.744545,6.151053,4,0.039036,2
1498,5A,,5A,M,8,0.23703,0.297844,67.382456,25.242193,13,0.181478,4
1555,3B,,3B,F,6,0.28589,0.3299,191.912084,18.865096,10,0.144139,7
1700,3B,,3B,F,6,0.306579,0.360515,525.282761,28.591511,15,0.205923,7
1702,2B,,2B,F,7,0.28519,0.336021,263.569184,21.932268,10,0.139389,3
1552,3B,,3B,F,6,0.292714,0.342775,260.763953,22.227545,12,0.159362,7
1704,2B,,2B,M,7,0.312332,0.371929,528.38365,22.559006,14,0.322414,3
1705,4A,,4A,M,5,0.364063,0.414735,3990.359462,30.014158,17,0.321629,8
1706,2B,,2B,F,7,0.295685,0.344748,140.27474,18.31528,11,0.176162,3
1707,3B,,3B,M,6,0.284841,0.330114,206.174631,21.862614,11,0.155681,7
1708,2B,,2B,M,7,0.339156,0.406979,1323.055844,29.848548,18,0.398826,3
1558,3B,,3B,M,5,0.33429,0.398712,1434.963606,36.569339,21,0.294055,7
1821,4B,,4B,F,6,0.288366,0.335265,996.969803,20.125242,11,0.094454,9
1820,3A,,3A,M,6,0.2873,0.322961,265.943683,10.586378,6,0.057606,2
1822,3A,,3A,M,6,0.323162,0.376466,1180.894946,20.900681,12,0.181872,2
1579,3B,,3B,M,6,0.298335,0.345279,141.766177,22.292469,12,0.176056,7
1698,1B,,1B,M,8,0.295685,0.377401,448.864984,37.338105,20,0.787688,0
1668,Teachers,,Teachers,Unknown,8,0.208969,0.254108,14.733857,6.989468,5,0.053248,4
1666,1B,,1B,M,8,0.281062,0.358446,111.033447,31.8893,18,0.789494,0
1665,1B,,1B,M,8,0.275089,0.34464,88.749379,26.590234,13,0.542283,0
1664,1B,,1B,M,8,0.242456,0.301844,10.813078,20.290049,11,0.532646,0
1663,1B,,1B,F,9,0.240951,0.308524,9.288047,26.760516,13,0.617579,0
1661,1B,,1B,F,8,0.258029,0.32734,48.087367,28.877767,17,0.722298,0
1920,1B,,1B,F,8,0.265376,0.344007,98.628295,34.012105,18,0.763445,0
1482,5B,,5B,M,7,0.280048,0.34161,900.56398,22.139514,14,0.226172,4
1922,2A,,2A,F,8,0.25162,0.297369,88.014237,9.368178,6,0.05176,3
1480,5B,,5B,F,7,0.274764,0.336777,277.59405,21.202322,12,0.186132,4
1486,5B,,5B,M,7,0.241701,0.284028,279.884085,10.305429,6,0.073202,4
1709,Teachers,,Teachers,Unknown,7,0.252438,0.280084,41.712582,3.815036,3,0.028951,7
1489,5B,,5B,F,6,0.27093,0.335551,931.612677,22.257479,13,0.187672,4
1713,2B,,2B,F,8,0.245522,0.282695,8.738036,8.810672,5,0.055627,3
1712,3B,,3B,F,7,0.256326,0.291171,21.022387,9.990865,6,0.072616,7
1711,1A,,1A,F,8,0.278708,0.350863,273.341529,26.791813,15,0.339201,1
1710,2B,,2B,M,7,0.273154,0.300756,0,2.993577,2,0.04681,1
1714,3A,,3A,M,7,0.320495,0.377795,807.920495,17.402633,11,0.210748,2
1851,2B,,2B,M,6,0.355183,0.409728,3633.20348,28.962125,16,0.30706,3
1719,3A,,3A,F,7,0.269676,0.318894,151.225088,17.815378,10,0.074746,2
1718,2B,,2B,F,8,0.265376,0.323539,52.018556,18.981239,11,0.157817,3
1854,2B,,2B,F,8,0.239712,0.268031,0,4.280993,2,0.028766,3
1855,2B,,2B,M,7,0.312332,0.37336,373.723268,22.9718,12,0.280164,3
1857,4B,,4B,F,7,0.273154,0.323687,261.250707,17.504902,10,0.096364,9
1524,4A,,4A,F,7,0.243979,0.272798,0,7.869615,4,0.069826,8
1525,4A,,4A,M,7,0.257743,0.302412,5.312385,15.556311,9,0.17559,8
1520,5A,,5A,F,8,0.233936,0.292408,128.25502,19.195503,12,0.144712,4
1521,Teachers,,Teachers,Unknown,7,0.224038,0.243399,0,1.017033,1,0.009303,9
1522,5A,,5A,M,7,0.281062,0.343756,1443.905273,25.142453,14,0.207221,4
1653,Teachers,,Teachers,Unknown,7,0.286241,0.33413,37.649608,18.379977,12,0.229389,8
1650,Teachers,,Teachers,Unknown,7,0.283455,0.333088,292.473904,13.69198,10,0.128517,3
1656,1B,,1B,M,8,0.262092,0.319972,12.231194,19.359163,11,0.553222,0
1749,2B,,2B,F,7,0.28519,0.335878,224.134931,21.265681,10,0.139062,3
1630,4B,,4B,M,8,0.230465,0.253485,76.278682,3.602212,2,0.010543,8
1833,3A,,3A,M,5,0.319178,0.363591,929.331139,17.71403,10,0.110715,2
1831,4B,,4B,F,8,0.218369,0.254874,27.994004,8.97842,6,0.034387,9
1837,4A,,4A,M,6,0.303385,0.35372,787.610461,26.881082,14,0.24943,8
1437,5B,,5B,F,7,0.260045,0.321255,109.066991,23.82002,13,0.196083,4
1434,5B,,5B,F,7,0.307388,0.365032,1107.715171,21.614951,12,0.161032,4
1435,5B,,5B,M,8,0.214351,0.253045,0.44359,7.258728,4,0.066247,4
1641,2A,,2A,F,9,0.204028,0.23311,4.1657,7.012656,3,0.009835,3
1643,2A,,2A,F,8,0.250538,0.295335,87.651382,9.810205,6,0.051896,3
1431,5B,,5B,F,7,0.282082,0.351012,891.189845,29.376264,17,0.241102,4
1843,3A,,3A,M,6,0.280723,0.317883,119.796877,10.282508,7,0.060743,2
1727,3B,,3B,F,6,0.278043,0.321388,44.763913,19.06705,10,0.137836,7
1835,4B,,4B,F,6,0.296438,0.344421,1058.368414,15.196469,10,0.095158,9
1722,3A,,3A,F,6,0.301034,0.348569,404.745289,18.869332,10,0.1147,2
1723,3A,,3A,M,7,0.299486,0.346536,451.734164,14.125729,7,0.1287,2
1720,3A,,3A,F,7,0.302991,0.359197,683.986682,19.325793,11,0.14071,2
1439,5B,,5B,M,6,0.304178,0.361803,1569.324673,21.947034,14,0.234146,4
1731,3B,,3B,M,6,0.2838,0.328827,145.816398,17.575722,10,0.136815,7
1533,4A,,4A,M,6,0.348281,0.410157,4795.006592,35.108856,20,0.354193,8
1532,4A,,4A,M,7,0.293821,0.345933,180.854775,20.339215,12,0.209712,8
1730,4A,,4A,Unknown,6,0.280048,0.329542,217.602476,16.860905,10,0.186398,8
1458,5A,,5A,M,8,0.232535,0.288504,113.13373,20.851785,12,0.131733,4
1539,4A,,4A,F,6,0.294937,0.337411,67.691856,20.963583,11,0.204521,8
1538,4A,,4A,F,6,0.293082,0.335265,142.731963,15.780253,11,0.194996,8
1570,3B,,3B,F,7,0.269988,0.305334,58.647012,9.68201,7,0.074478,7
1877,2B,,2B,F,8,0.253261,0.296357,5.847544,9.742248,5,0.096172,3
1872,2B,,2B,F,8,0.260918,0.306371,15.23143,10.405384,6,0.105882,3
1908,1B,,1B,M,8,0.270616,0.34182,35.409787,32.054496,18,0.846216,0
1909,3A,,3A,M,6,0.308609,0.361087,575.232557,23.834934,12,0.13999,2
1906,2A,,2A,F,9,0.214351,0.250216,453.71732,10.940773,6,0.016324,10
1907,2A,,2A,F,8,0.2463,0.283277,9.185573,5.388703,3,0.03835,3
1902,2A,,2A,M,7,0.281741,0.337308,329.360698,16.232714,9,0.122563,3
1682,1B,,1B,F,9,0.232303,0.289303,5.163928,18.449252,9,0.35466,0
1739,2B,,2B,M,7,0.283111,0.317709,81.563042,7.689977,5,0.068013,3
1738,3A,,3A,F,6,0.272834,0.308941,63.220193,12.710233,7,0.066516,2
1632,4B,,4B,F,7,0.258029,0.295504,69.004571,9.450933,6,0.045896,9
1427,5B,,5B,F,7,0.258315,0.308921,36.679298,11.644527,8,0.139146,4
1637,5A,,5A,Unknown,8,0.211051,0.24721,2.478343,7.32253,4,0.04047,4
1429,5B,,5B,F,6,0.279376,0.344063,680.506359,27.699427,15,0.232054,4
1428,5B,,5B,M,8,0.216141,0.264776,2.951605,10.778086,7,0.116479,4
1580,3B,,3B,M,6,0.294937,0.332761,260.483201,13.785191,8,0.112673,7
1732,2B,,2B,M,8,0.275089,0.336414,100.572079,12.726279,9,0.237905,3
1735,3B,,3B,M,6,0.297573,0.332403,275.932978,8.285734,6,0.082633,7
1737,3A,,3A,M,6,0.274118,0.303147,5.912505,8.455629,4,0.043529,2
1585,5B,,5B,M,7,0.252438,0.306131,91.518717,18.492937,10,0.153778,4
1502,5A,,5A,F,8,0.224687,0.280779,29.944216,16.264479,9,0.110832,4
1503,4A,,4A,F,7,0.289441,0.337564,178.554539,22.747728,11,0.200683,8
1500,4A,,4A,M,6,0.304575,0.356867,166.208364,27.230092,16,0.291464,8
1501,5A,,5A,F,7,0.251348,0.30234,531.861366,16.163125,9,0.090067,4
1504,4A,,4A,F,6,0.294937,0.338841,49.813535,21.993103,12,0.222409,8
1767,1A,,1A,M,8,0.284146,0.358017,240.164027,25.757941,14,0.385497,1
1609,2A,,2A,F,10,0.176917,0.198832,0.5,5.444266,3,0.005813,10
1572,3B,,3B,F,6,0.280385,0.319957,113.99692,14.809193,8,0.10319,7
1613,2A,,2A,M,8,0.293451,0.364526,526.966964,27.670482,14,0.285935,3
1805,4B,,4B,M,8,0.204565,0.226701,0.333333,3.702648,2,0.009013,9
1861,2B,,2B,F,7,0.299486,0.349326,169.637742,22.229696,11,0.194112,3
1465,5B,,5B,F,7,0.227984,0.259054,0,3.89221,2,0.039491,4
1863,2B,,2B,M,7,0.265982,0.296393,19.461542,8.965684,4,0.043358,3
1865,4B,,4B,M,7,0.239466,0.276517,144.182754,11.054034,7,0.036351,9
1592,5B,,5B,M,7,0.247084,0.297486,53.054196,11.248475,8,0.115268,4
1911,2A,,2A,M,7,0.304178,0.36027,547.930618,19.91628,11,0.210534,3
1913,2A,,2A,F,9,0.23138,0.269325,3.618081,4.082642,3,0.029834,3
1912,1B,,1B,M,8,0.275089,0.341994,46.236461,26.213294,14,0.652696,0
1917,2A,,2A,F,10,0.176783,0.196686,0,4.182061,2,0.004352,10
1916,2A,,2A,M,8,0.296438,0.368818,589.437562,24.667166,14,0.293179,3
1483,5A,,5A,F,0,0,0,0,0,0,0,5
1684,1B,,1B,F,8,0.281062,0.360019,118.12199,31.108541,19,0.839344,0
1430,5B,,5B,M,8,0.240702,0.280104,2.957412,5.831677,4,0.073839,4
1625,2A,,2A,M,7,0.286593,0.333517,434.092832,19.619815,10,0.12807,3
1461,5A,,5A,F,8,0.22318,0.27291,54.510503,13.811221,7,0.06972,4
1628,2A,,2A,M,7,0.300258,0.367781,477.662135,23.347027,13,0.231745,3
1457,5A,,5A,F,7,0.253261,0.312722,186.594747,21.521132,12,0.179656,4
1748,3A,,3A,M,6,0.272515,0.304292,79.778536,10.678674,6,0.046889,2
1451,5A,,5A,F,7,0.232303,0.289413,135.821715,15.82104,10,0.101207,4
1452,5A,,5A,M,8,0.237755,0.30142,61.934123,24.871666,14,0.200427,4
1453,5A,,5A,F,7,0.236308,0.2916,142.886672,15.124859,9,0.119656,4
1574,3B,,3B,F,6,0.267816,0.316524,32.637373,25.687098,12,0.166743,7
1745,Teachers,,Teachers,Unknown,8,0.271246,0.346112,53.546782,35.166512,20,0.920886,0
1746,Teachers,,Teachers,Unknown,7,0.260335,0.295718,64.707238,4.942552,4,0.039118,2
1516,5A,,5A,M,8,0.209156,0.261547,21.344221,13.839647,9,0.086197,4
1511,5A,,5A,M,8,0.22318,0.253684,7.466803,2.961307,2,0.024104,4
1741,3A,,3A,M,7,0.258029,0.284733,12.776634,5.784697,4,0.031614,2
1743,2B,,2B,F,6,0.345697,0.401574,4185.131316,28.285794,16,0.26097,3
1426,5B,,5B,M,7,0.262387,0.325261,176.963895,24.433208,15,0.227134,4
1847,4B,,4B,M,6,0.316147,0.370243,1077.085606,21.719652,13,0.176007,9
1459,5A,,5A,M,8,0.236548,0.292121,51.550068,17.466944,10,0.16404,4
1648,2A,,2A,F,7,0.276722,0.314061,100.73263,13.069163,6,0.075332,3
1898,2B,,2B,F,7,0.276066,0.309054,18.930003,5.51594,3,0.072644,3
1895,4B,,4B,F,7,0.259177,0.306417,285.771522,17.101806,10,0.064865,9
1897,2B,,2B,F,8,0.26298,0.307587,37.245466,9.71255,7,0.099667,3
1890,2B,,2B,M,7,0.314016,0.398253,941.610412,39.281798,23,0.613267,3
1519,4A,,4A,F,7,0.273154,0.309708,11.272815,9.070644,5,0.084538,8
1892,4B,,4B,M,9,0.179507,0.199692,232,4.626513,2,0.004042,9
1815,4A,,4A,F,6,0.310667,0.364735,482.545979,30.009141,16,0.277839,8
1618,4A,,4A,Unknown,7,0.237513,0.260065,0,3.241148,2,0.037616,8
1616,2A,,2A,F,9,0.19729,0.22093,48.404456,6.126841,3,0.007686,10
1617,2A,,2A,F,8,0.23922,0.274663,252.956161,7.398993,4,0.023781,3
1818,4B,,4B,M,7,0.231151,0.257705,0.6,4.188492,3,0.021437,9
1819,4B,,4B,F,7,0.23583,0.275158,196.257237,11.565889,8,0.043597,9
1696,1B,,1B,F,7,0.296061,0.348968,383.756698,16.561076,10,0.376991,0
1649,2A,,2A,M,8,0.248401,0.289786,328.056659,6.942128,5,0.059311,10
1471,5B,,5B,M,7,0.265376,0.328336,268.335327,24.608271,15,0.235708,4
1443,5B,,5B,F,7,0.270302,0.327478,237.216621,19.34472,11,0.164341,4
1441,5B,,5B,M,8,0.194816,0.214669,0,2.059942,1,0.006665,4
1824,Teachers,,Teachers,Unknown,7,0.252986,0.314868,206.601208,18.104686,14,0.188955,4
1757,1A,,1A,F,8,0.286593,0.362523,493.120575,31.12268,17,0.500711,1
1562,3B,,3B,F,7,0.253536,0.291672,3.357094,13.726601,7,0.106026,7
1563,5B,,5B,F,7,0.257459,0.3154,117.459137,18.519157,10,0.165098,4
1753,Teachers,,Teachers,Unknown,0,0,0,0,0,0,0,6
1752,1A,,1A,M,8,0.269364,0.339643,43.930715,21.573805,13,0.414947,1
1751,5A,,5A,F,8,0.212011,0.250644,14.888188,7.1671,5,0.039416,4
1567,3B,,3B,M,6,0.308201,0.368598,527.218906,28.659233,17,0.231986,7
1858,2B,,2B,F,8,0.258889,0.295785,7.432091,6.119445,4,0.064754,3
1528,4A,,4A,M,6,0.308201,0.367239,324.43438,32.745797,19,0.329681,8
1859,3A,,3A,F,7,0.256326,0.296148,33.183033,13.153638,7,0.053994,2
1475,5B,,5B,F,8,0.249465,0.296689,33.619014,10.465389,6,0.090086,4
1688,1B,,1B,M,7,0.301813,0.383803,942.186443,40.689388,22,0.924398,0
1889,2B,,2B,F,7,0.306983,0.362988,422.352651,25.749799,13,0.225529,3
1888,4B,,4B,M,8,0.218165,0.253515,490.106271,8.385418,5,0.02351,9
1887,2B,,2B,M,7,0.289801,0.331657,55.964016,11.581629,7,0.126399,3
1885,4B,,4B,M,7,0.290886,0.331555,382.516819,13.170766,7,0.091941,8
1883,2B,,2B,M,7,0.280385,0.317995,59.454368,10.894421,6,0.07532,3
1880,4B,,4B,M,7,0.2463,0.280411,164.524901,8.852553,5,0.03105,9
1807,4B,,4B,F,7,0.235354,0.262855,5.934773,5.520533,3,0.020069,9
1919,2A,,2A,M,8,0.245263,0.281918,139.049956,6.202826,4,0.037208,3
1866,4B,,4B,M,6,0.300645,0.342775,434.104906,14.561871,8,0.119745,9
1761,1A,,1A,M,7,0.318741,0.389454,1093.649546,27.597671,17,0.512906,1
1803,4B,,4B,M,7,0.255482,0.284345,2.636968,6.300225,3,0.03535,9
1802,4B,,4B,M,7,0.271246,0.319395,716.195694,18.524682,9,0.129521,9
1801,3A,,3A,F,6,0.281401,0.320672,104.834576,13.654979,8,0.073028,2
1594,3B,,3B,M,7,0.258889,0.299755,7.449777,12.434369,7,0.098635,7
1601,4B,,4B,F,10,0.152288,0.164429,0,2.658965,1,0.00124,9
1603,2A,,2A,F,9,0.220853,0.259474,58.040461,8.532106,5,0.023318,3
1604,2A,,2A,F,8,0.259755,0.31145,195.357914,13.735153,8,0.09346,3
1809,3A,,3A,F,7,0.282082,0.317852,470.039298,11.610026,7,0.056202,2
1606,2A,,2A,F,8,0.243724,0.280058,499.221154,10.105219,5,0.02611,10
1681,1B,,1B,M,8,0.261504,0.31564,40.782617,17.507394,10,0.476891,0
1680,1B,,1B,F,8,0.256044,0.318756,16.643109,23.769455,14,0.662654,0
1768,1A,,1A,F,8,0.239712,0.281264,29.73724,12.435303,6,0.075191,1
1578,5B,,5B,M,7,0.266286,0.333344,348.376965,27.718501,17,0.248292,4
1685,3B,,3B,F,6,0.287654,0.338269,590.338146,23.480692,13,0.174796,7
1477,5A,,5A,M,8,0.239466,0.30188,69.079668,24.340762,13,0.187614,4
1687,1B,,1B,F,9,0.23138,0.283938,2.94392,13.792806,7,0.277003,0
1564,3B,,3B,M,6,0.261504,0.294635,8.562206,7.798893,5,0.075687,7
1763,3A,,3A,M,6,0.330496,0.371102,1414.336674,16.295469,10,0.140535,7
1760,1A,,1A,F,8,0.242961,0.286772,34.712351,11.56295,6,0.083826,1
1479,5A,,5A,M,8,0.227539,0.267443,25.475117,7.460892,5,0.063748,4
1766,1A,,1A,M,8,0.269988,0.342147,255.359907,23.502875,14,0.372717,1
1852,Teachers,,Teachers,Unknown,7,0.293451,0.341028,140.944782,11.788334,8,0.154677,3
1764,1A,,1A,M,8,0.273796,0.34182,181.061586,20.64516,13,0.29476,1
1765,1B,,1B,F,8,0.284493,0.369748,159.899428,40.261643,22,0.98283,0
